date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
11:23:33	4896/4896	---M--	404	error ('Not%20Found')	text/html	date:Wed,%2008%20Mar%202017%2005:53:33%20GMT	http://localhost:58003/robots.txt		(from )
11:23:34	20648/20648	---M-Z	200	added ('OK')	text/html	date:Wed,%2008%20Mar%202017%2005:53:33%20GMT	http://localhost:58003/	C:/Users/vaishnav/Downloads/TOP_Deployed/top/localhost_58003/index.html	(from )
11:23:34	5665/5665	---M-Z	200	added ('OK')	text/css	etag:%22aa7e445de3cf1:0%22	http://localhost:58003/alienufodisclosure.css	C:/Users/vaishnav/Downloads/TOP_Deployed/top/localhost_58003/alienufodisclosure.css	(from http://localhost:58003/)
11:23:34	17046/17046	---M--	200	added ('OK')	image/gif	etag:%220124ccc5affce1:0%22	http://localhost:58003/alien-UFO-pictures/favicon.gif	C:/Users/vaishnav/Downloads/TOP_Deployed/top/localhost_58003/alien-UFO-pictures/favicon.gif	(from http://localhost:58003/)
11:23:35	0/0	---M--	301	error ('Moved%20Permanently')	text/html	date:Wed,%2008%20Mar%202017%2005:53:34%20GMT	http://www.topalienufo.com/lightbox/js/prototype.js	C:/Users/vaishnav/Downloads/TOP_Deployed/top/www.topalienufo.com/lightbox/js/prototype.2.delayed	(from http://localhost:58003/)
11:23:39	7332/7332	---MC-	404	error ('Not%20Found')	text/html	date:Wed,%2008%20Mar%202017%2005:53:35%20GMT	http://topalienufo.com/lightbox/js/prototype.js	C:/Users/vaishnav/Downloads/TOP_Deployed/top/topalienufo.com/lightbox/js/prototype.3.delayed	(from http://localhost:58003/)
11:23:40	0/0	---M--	301	error ('Moved%20Permanently')	text/html	date:Wed,%2008%20Mar%202017%2005:53:39%20GMT	http://www.topalienufo.com/lightbox/js/scriptaculous.js?load=effects,builder	C:/Users/vaishnav/Downloads/TOP_Deployed/top/www.topalienufo.com/lightbox/js/scriptaculous.4b395.delayed	(from http://localhost:58003/)
11:23:44	7332/7332	---MC-	404	error ('Not%20Found')	text/html	date:Wed,%2008%20Mar%202017%2005:53:40%20GMT	http://topalienufo.com/lightbox/js/scriptaculous.js?load=effects,builder	C:/Users/vaishnav/Downloads/TOP_Deployed/top/topalienufo.com/lightbox/js/scriptaculous.5b395.delayed	(from http://localhost:58003/)
11:23:45	0/0	---M--	301	error ('Moved%20Permanently')	text/html	date:Wed,%2008%20Mar%202017%2005:53:44%20GMT	http://www.topalienufo.com/lightbox/js/lightbox.js	C:/Users/vaishnav/Downloads/TOP_Deployed/top/www.topalienufo.com/lightbox/js/lightbox.6.delayed	(from http://localhost:58003/)
11:23:49	7332/7332	---MC-	404	error ('Not%20Found')	text/html	date:Wed,%2008%20Mar%202017%2005:53:45%20GMT	http://topalienufo.com/lightbox/js/lightbox.js	C:/Users/vaishnav/Downloads/TOP_Deployed/top/topalienufo.com/lightbox/js/lightbox.7.delayed	(from http://localhost:58003/)
11:23:50	0/0	---M--	301	error ('Moved%20Permanently')	text/html	date:Wed,%2008%20Mar%202017%2005:53:49%20GMT	http://www.topalienufo.com/lightbox/css/lightbox.css	C:/Users/vaishnav/Downloads/TOP_Deployed/top/www.topalienufo.com/lightbox/css/lightbox.8.delayed	(from http://localhost:58003/)
11:23:55	7332/7332	---MC-	404	error ('Not%20Found')	text/html	date:Wed,%2008%20Mar%202017%2005:53:50%20GMT	http://topalienufo.com/lightbox/css/lightbox.css	C:/Users/vaishnav/Downloads/TOP_Deployed/top/topalienufo.com/lightbox/css/lightbox.9.delayed	(from http://localhost:58003/)
11:23:55	4930/4930	---M--	404	error ('Not%20Found')	text/html	date:Wed,%2008%20Mar%202017%2005:53:55%20GMT	http://localhost:58003/facebook-bottombar-HTML.CSS	C:/Users/vaishnav/Downloads/TOP_Deployed/top/localhost_58003/facebook-bottombar-HTML.a.delayed	(from http://localhost:58003/)
11:23:57	198957/198957	---M-Z	200	added ('OK')	application/x-javascript	etag:%22f30e024d0ee737bf0d76494a24cb5774%22	http://connect.facebook.net/en_US/all.js	C:/Users/vaishnav/Downloads/TOP_Deployed/top/connect.facebook.net/en_US/all.js	(from http://localhost:58003/)
11:23:58	20660/20660	---M-Z	200	added ('OK')	text/html	date:Wed,%2008%20Mar%202017%2005:53:56%20GMT	http://localhost:58003/Default.aspx	C:/Users/vaishnav/Downloads/TOP_Deployed/top/localhost_58003/Default.html	(from http://localhost:58003/)
11:23:59	26608/26608	---M-Z	200	added ('OK')	text/html	date:Wed,%2008%20Mar%202017%2005:53:59%20GMT	http://localhost:58003/top/report-ufo-sighting.aspx	C:/Users/vaishnav/Downloads/TOP_Deployed/top/localhost_58003/top/report-ufo-sighting.html	(from http://localhost:58003/)
11:23:59	139/139	---M--	302	error ('Found')	text/html	date:Wed,%2008%20Mar%202017%2005:53:59%20GMT	http://localhost:58003/TOP/default.aspx	C:/Users/vaishnav/Downloads/TOP_Deployed/top/localhost_58003/TOP/default.f.delayed	(from http://localhost:58003/)
11:23:59	115599/115599	---M-Z	200	added ('OK')	application/javascript	etag:%22aa4972af0eeee0612a603ddd0cf91d7a+gzip%22	http://platform.twitter.com/widgets.js	C:/Users/vaishnav/Downloads/TOP_Deployed/top/platform.twitter.com/widgets.js	(from http://localhost:58003/)
11:23:59	17332/17332	---M-Z	200	added ('OK')	text/html	date:Wed,%2008%20Mar%202017%2005:53:59%20GMT	http://localhost:58003/research/default.aspx	C:/Users/vaishnav/Downloads/TOP_Deployed/top/localhost_58003/research/default.html	(from http://localhost:58003/)
11:24:00	18228/18228	---M-Z	200	added ('OK')	text/html	date:Wed,%2008%20Mar%202017%2005:54:00%20GMT	http://localhost:58003/Alien/Default.aspx	C:/Users/vaishnav/Downloads/TOP_Deployed/top/localhost_58003/Alien/Default.html	(from http://localhost:58003/)
11:24:00	18917/18917	---M-Z	200	added ('OK')	text/html	date:Wed,%2008%20Mar%202017%2005:54:00%20GMT	http://localhost:58003/UFO/Default.aspx	C:/Users/vaishnav/Downloads/TOP_Deployed/top/localhost_58003/UFO/Default.html	(from http://localhost:58003/)
11:24:01	43826/43826	---M-Z	200	added ('OK')	text/html	date:Wed,%2008%20Mar%202017%2005:54:00%20GMT	http://localhost:58003/contact.aspx	C:/Users/vaishnav/Downloads/TOP_Deployed/top/localhost_58003/contact.html	(from http://localhost:58003/)
